CaseNo,img_section A,img_section B,img_section C,img_section D,img_section E,img_section F,img_section G,img_section H,cost,CO2,install_duration
63,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,677220685.03,190.7306,362.4787
64,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,687207509.5999999,188.36880000000002,347.3699
65,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,690065580.9699999,187.47560000000001,348.4633
66,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,683859813.47,189.1605,352.43449999999996
67,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,693846638.04,186.79870000000003,337.3257
68,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,696704709.41,185.90550000000002,338.41909999999996
69,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,685759827.1099999,188.5667,353.16139999999996
70,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,695746651.68,186.2049,338.0526
71,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,698604723.05,185.3117,339.14599999999996
72,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,678510275.1599998,190.86520000000002,362.7926
73,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,688497099.7299999,188.50340000000003,347.68379999999996
74,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,691355171.0999999,187.61020000000002,348.7772
75,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,685149403.5999999,189.29510000000002,352.74839999999995
76,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,695136228.17,186.93330000000003,337.6396
77,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,697994299.54,186.04010000000002,338.73299999999995
78,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,687049417.24,188.7013,353.47529999999995
79,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,697036241.81,186.33950000000002,338.3665
80,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0a.png,section F.CRM.8.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,699894313.18,185.4463,339.45989999999995
81,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,672335985.6700001,192.3521,372.39480000000003
82,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,682322810.24,189.99030000000002,357.286
83,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,685180881.6100001,189.0971,358.37940000000003
84,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,678975114.1100001,190.782,362.3506
85,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,688961938.6800001,188.42020000000002,347.2418
86,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,691820010.0500001,187.52700000000002,348.3352
87,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,680875127.75,190.1882,363.0775
