id,harbour,description,country,worktype,length,depth,duration,start,finish,cost(M$),owner,contractor,consultant,Hydr.Lab,type,Hs,Tz,Tp,front armour,front (unit),front size,front slope,rear armour,rear (unit),rear size,rear slope,heigth,width,wall,comments,Lat,Lon
574,Guryongpo Port,North Breakwater,South Korea,New construction,550,12,0,0,0,0,,,,,Rubble Mound,6.1,0.0,13.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,9.0,0.0,,35.9876,129.559
575,Geomundo Port,South Breakwater,South Korea,New construction,920,10,0,0,0,0,,,,,Rubble Mound,4.7,0.0,11.0,Tetrapod,ton,0.0,1:0,,,0.0,1:0,0.0,9.0,0.0,,34.0369,127.312
146,A Coru&ntide;a - Punta Lagosteira,,Spain,,4000,42,0,0,0,500,Port Authority of A Coruña,SATO,,Deltares,Rubble Mound,15.1,0.0,18.0,Cubes,ton,150.0,1:2,,,0.0,1:1.5,25.0,0.0,0.0,,43.3496,-8.502510000000001
147,"Ensfinge, Las Palmas",,Spain,,302,39,0,2001,2003,0,,,,,Rubble Mound,7.7,0.0,15.0,Accropode,m3,16.0,1:1.5,,,0.0,1:0,15.0,0.0,0.0,,28.1449,-15.413
148,Llanca marina and fishing harbour,,Spain,,0,10,0,1986,1989,0,,,,,Rubble Mound,6.5,0.0,13.0,Accropode,m3,9.0,1:1.33,,,0.0,1:0,0.0,0.0,0.0,,42.3739,3.16255
149,Mazagon marina,Main breakwater,Spain,,0,5,0,1990,1992,0,,,,,,4.0,0.0,0.0,Accropode,m3,4.0,1:1.5,,,0.0,1:0,0.0,0.0,0.0,,37.131,-6.831
150,Palamos marina,,Spain,,0,15,0,1990,1994,0,,,,,Rubble Mound,6.3,0.0,14.0,Accropode,m3,12.0,1:1.33,,,0.0,1:0,0.0,0.0,0.0,,41.84399999999999,3.135
151,Port Bou marina,,Spain,,0,15,0,1995,1998,0,,,,,Rubble Mound,6.0,0.0,12.5,Accropode,m3,9.0,1:1.33,,,0.0,1:0,0.0,0.0,0.0,,42.4262,3.16703
152,Puerto do Carboneras,,Spain,,0,0,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,,ton,57.0,1:2,,,0.0,1:0,12.0,0.0,0.0,,36.9902,-1.89706
153,"Puerto Colon, Canary Islands",,Spain,,0,10,0,1985,1988,0,,,,,Rubble Mound,6.0,10.0,16.0,Accropode,m3,9.0,1:1.33,,,0.0,1:0,0.0,0.0,0.0,,28.078,-16.737
154,San Ciprian,,Spain,,0,0,0,1978,1979,0,,,,,,13.0,16.0,0.0,Dolos,ton,50.0,1:1.25,,,0.0,1:1.5,0.0,0.0,0.0,,43.71100000000001,-7.47
199,Algeciras marina,,Spain,,0,11,0,1995,1996,0,,,,,Rubble Mound,6.0,0.0,12.5,Accropode,m3,9.0,1:1.5,,ton,0.0,1:0,0.0,0.0,0.0,,36.1191,-5.437180000000001
232,Gijon,Torres,Spain,New breakwater,1450,22,0,0,0,0,,,,,Rubble Mound,9.5,0.0,0.0,Cubes,ton,145.0,1:2,,ton,0.0,1:0,22.0,0.0,0.0,,43.578,-5.691
241,Ferrol,Outer port,Spain,New construction,1100,0,0,2001,2004,0,,,,Cedex,Rubble Mound,7.6,18.6,0.0,Cubes,ton,90.0,1:1.75,,ton,0.0,1:0,18.0,0.0,0.0,,43.457,-8.333
242,La Coruna,,Spain,New construction,4000,42,0,0,0,0,,,,Cedex,Rubble Mound,15.1,0.0,0.0,Rock,ton,150.0,1:2,Cubes,ton,0.0,1:1.5,25.0,22.0,0.0,With L-wall on top,43.35100000000001,-8.51
243,Valencia,,Spain,New construction,1123,16,0,0,0,0,,,,,Rubble Mound,6.3,0.0,0.0,Rock,ton,35.0,1:1.5,,ton,0.0,1:0,12.0,0.0,0.0,under construction,39.442,-0.303
244,Barcelona,East breakwater,Spain,New construction,2165,20,0,0,0,0,,,,Cedex,,7.3,0.0,0.0,Cubes,ton,50.0,1:1.75,,ton,0.0,1:0,12.0,0.0,0.0,,41.322,2.171
251,Barcelona,"Southern breakwater, stretches 1 & 3",Spain,,3100,27,0,0,0,0,,,,Cedex,Rubble Mound,7.3,0.0,0.0,Cubes,ton,40.0,1:1.75,Rock,ton,0.0,1:0,11.0,0.0,0.0,,41.324,2.167
252,Barcelona,"Southern breakwater, stretch 2",Spain,,1700,20,0,0,0,0,,,,Cedex,Caisson,7.6,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,11.0,0.0,0.0,,41.324,2.167
253,Barcelona,North mouth,Spain,,1000,25,0,0,0,0,,,,,Rubble Mound,6.4,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:1.5,11.0,0.0,0.0,,41.3248,2.16746
254,Alicante,,Spain,,1200,16,0,0,0,0,,,,,Rubble Mound,4.4,0.0,0.0,,ton,20.0,1:1.5,,ton,0.0,1:0,7.5,0.0,0.0,,38.33,-0.489
255,Gijon,North breakwater,Spain,,1588,30,0,0,0,0,,,,Cedex,Caisson,9.5,0.0,19.0,,ton,0.0,1:0,,ton,0.0,1:1.5,24.0,32.0,0.0,under construction,43.567,-5.689
256,"Algeciras, Isla Verde",,Spain,,1750,43,0,0,0,0,,,,Cedex,Caisson,4.8,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,7.5,21.4,0.0,,36.134,-5.428
257,"Levante, Malaga",,Spain,,20,0,0,0,0,0,,,,,Caisson,6.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,10.0,21.0,0.0,,36.703,-4.412
258,Motril,,Spain,,550,20,0,0,0,0,,,,,Caisson,6.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,7.5,21.1,0.0,,36.718,-3.522
259,"Escombreras, Cartagena",South-western breakwater,Spain,Port enlargement,1038,29,0,2001,0,0,,,,Cedex,Caisson,8.1,0.0,13.0,,ton,0.0,1:0,,ton,0.0,1:0,3.6,26.0,0.0,,37.562,-0.972
260,"Escombreras, Cartagena",Perimeter breakwater of an islet,Spain,Port enlargement,518,32,0,2001,0,0,,,,Cedex,Caisson,8.1,0.0,13.0,,ton,0.0,1:0,,ton,0.0,1:0,13.0,10.0,13.0,,37.562,-0.972
261,Escombreras. Cartagena,Initial section,Spain,,202,52,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,ton,45.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,37.587,-0.9790000000000001
262,"Escombreras, Cartagena",Southern breakwater,Spain,,401,19,0,2001,0,0,,,,Cedex,Caisson,8.1,0.0,13.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,18.5,0.0,,37.587,-0.9790000000000001
263,Valencia,North breakwater,Spain,Port enlargement,2271,16,0,0,0,0,,,,,Caisson,6.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,13.0,19.17,0.0,under construction,39.447,-0.3
264,Sagunto,,Spain,,1204,15,0,0,0,0,,,,,Caisson,6.4,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,9.0,19.6,0.0,,39.64,-0.211
265,Castellon,Eastern breakwater,Spain,,440,12,0,0,0,0,,,,,Caisson,7.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,12.0,19.6,0.0,,39.964,0.029
266,Castellon,Eastern breakwater,Spain,Extension,358,15,0,0,0,0,,,,,Caisson,7.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,12.0,19.6,0.0,under construction,39.964,0.029
267,Castellon,Southern breakwater,Spain,,819,16,0,0,0,0,,,,,Caisson,7.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,12.0,15.0,0.0,under construction,39.964,0.029
268,Tarragona,,Spain,Enlargement,736,30,0,0,0,0,,,,,Caisson,7.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,8.0,24.0,0.0,,41.082,1.219
269,Barcelona,North mouth,Spain,,450,29,0,0,0,0,,,,,Caisson,6.4,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,6.0,19.6,0.0,,41.334,2.176
270,"Botafoc, Ibiza",,Spain,,615,25,0,0,0,0,,,,,Caisson,6.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,7.0,21.1,0.0,,38.903,1.45
271,Las Palmas,Stretch 3,Spain,,997,40,0,1988,1991,0,,,,,Caisson,7.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,12.2,24.0,0.0,"part of ""Reina Sofia"" breakwater",28.138,-15.405
272,Las Palmas,Stretch 1,Spain,,2417,0,0,1967,1972,0,,,,,Rubble Mound,6.4,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,part of,28.138,-15.405
273,Las Palmas,Stretch 2,Spain,,691,0,0,1975,1979,0,,,,,Rubble Mound,6.4,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,"part of ""Reina Sofia ""breakwater",28.138,-15.405
274,"Esfinge, Las Palmas",,Spain,,664,55,0,0,0,0,,,,,Caisson,7.3,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,12.2,24.6,0.0,under construction,28.138,-15.405
275,Gijon,"""Principe de Asturias"" Breakwater",Spain,,2145,0,0,0,1976,0,,,,,Rubble Mound,9.4,0.0,0.0,Cubes,ton,120.0,1:1.5,Cubes,ton,0.0,1:1.5,18.0,18.7,0.0,,43.566,-5.685
276,Bilbao,"""Punta Lucero"" breakwater",Spain,Reinforcement,2498,54,0,1980,1985,0,,,,,Rubble Mound,10.1,0.0,0.0,Cubes,ton,150.0,1:2,Rock,ton,0.0,1:0,0.0,0.0,0.0,,43.37,-3.095
277,Tenerife,Stretch 1,Spain,,779,0,0,1971,1980,0,,,,,Composite,4.6,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,8.0,15.63,0.0,"part of ""Los Llanos"" breakwater",28.486,-16.222
278,Tenerife,Stretch 2,Spain,,710,40,0,1971,1980,0,,,,,Composite,4.6,0.0,0.0,Rock,ton,2.0,1:1.5,Rock,ton,0.0,1:1.5,8.0,15.63,0.0,part of,28.484,-16.223
279,Tenerife,stretch 3,Spain,,30,0,0,1983,1987,0,,,,,Composite,4.6,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,"part of ""Los Llanos"" breakwater",28.484,-16.223
342,Aviles,,Spain,,0,0,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,ton,0.0,1:0,Cubes,ton,0.0,1:0,0.0,0.0,0.0,,43.592,-5.945
