CaseNo,type,slope,class armour,B,Rc,material_cost,material_CO2,img
63,CRMR,22.6,11.67 m³,16.579,7.266,54788.61,0.0622,CRMR.32a.png
64,CRMR,22.6,11.67 m³,16.579,7.266,54539.96,0.0629,CRMR.32b.png
65,CRMR,22.6,11.67 m³,17.632,6.917,54557.43,0.062,CRMR.33a.png
66,CRMR,22.6,11.67 m³,17.632,6.917,54314.9,0.0627,CRMR.33b.png
67,CRMR,22.6,11.67 m³,18.684,6.562,54311.48,0.0618,CRMR.34a.png
68,CRMR,22.6,11.67 m³,18.684,6.562,54075.09,0.0625,CRMR.34b.png
69,CRMR,22.6,11.67 m³,19.737,6.201,54049.74,0.0616,CRMR.35a.png
70,CRMR,22.6,11.67 m³,19.737,6.201,53819.5,0.0623,CRMR.35b.png
71,CRMR,22.6,11.67 m³,20.789,5.834,53770.98,0.0614,CRMR.36a.png
72,CRMR,22.6,11.67 m³,20.789,5.834,53546.92,0.0621,CRMR.36b.png
73,CRMR,22.6,11.67 m³,21.842,5.46,53473.76,0.0612,CRMR.37a.png
74,CRMR,22.6,11.67 m³,21.842,5.46,53255.89,0.0619,CRMR.37b.png
75,CRMR,22.6,11.67 m³,22.895,5.078,53156.36,0.0609,CRMR.38a.png
76,CRMR,22.6,11.67 m³,22.895,5.078,52944.71,0.0617,CRMR.38b.png
77,CRMR,22.6,11.67 m³,23.947,4.687,52816.64,0.0607,CRMR.39a.png
78,CRMR,22.6,11.67 m³,23.947,4.687,52611.23,0.0614,CRMR.39b.png
79,CRMR,22.6,11.67 m³,25.0,4.287,52451.95,0.0604,CRMR.40a.png
80,CRMR,22.6,11.67 m³,25.0,4.287,52252.81,0.0611,CRMR.40b.png
81,CRMR,26.6,14.58 m³,5.0,10.339,48135.25,0.0547,CRMR.41a.png
82,CRMR,26.6,14.58 m³,5.0,10.339,47858.24,0.0552,CRMR.41b.png
83,CRMR,26.6,14.58 m³,6.053,10.339,48814.67,0.0555,CRMR.42a.png
84,CRMR,26.6,14.58 m³,6.053,10.339,48542.8,0.056,CRMR.42b.png
85,CRMR,26.6,14.58 m³,7.105,10.339,49494.08,0.0562,CRMR.43a.png
86,CRMR,26.6,14.58 m³,7.105,10.339,49227.36,0.0568,CRMR.43b.png
87,CRMR,26.6,14.58 m³,8.158,9.907,49244.47,0.056,CRMR.44a.png
88,CRMR,26.6,14.58 m³,8.158,9.907,48983.94,0.0566,CRMR.44b.png
239,CRMR,33.7,17.08 m³,25.0,4.287,41805.04,0.0499,CRMR.100b.png
240,CRMR,33.7,17.08 m³,25.0,4.287,41928.21,0.056,CRMR.100c.png
