CaseNo,type,slope,class armour,B,Rc,material_cost,img
108,CRMR,26.6,14.58 m³,18.684,6.562,36323.02,CRMR.54b.png
109,CRMR,26.6,14.58 m³,19.737,6.201,35142.01,CRMR.55a.png
110,CRMR,26.6,14.58 m³,19.737,6.201,36429.6,CRMR.55b.png
111,CRMR,26.6,14.58 m³,20.789,5.834,35237.86,CRMR.56a.png
112,CRMR,26.6,14.58 m³,20.789,5.834,36529.98,CRMR.56b.png
113,CRMR,26.6,14.58 m³,21.842,5.46,35327.18,CRMR.57a.png
114,CRMR,26.6,14.58 m³,21.842,5.46,36623.51,CRMR.57b.png
115,CRMR,26.6,14.58 m³,22.895,5.078,35409.23,CRMR.58a.png
116,CRMR,26.6,14.58 m³,22.895,5.078,36709.45,CRMR.58b.png
117,CRMR,26.6,14.58 m³,23.947,4.687,35483.12,CRMR.59a.png
118,CRMR,26.6,14.58 m³,23.947,4.687,36786.83,CRMR.59b.png
106,CRMR,26.6,14.58 m³,17.632,6.917,36210.78,CRMR.53b.png
91,CRMR,26.6,14.58 m³,10.263,9.269,34061.77,CRMR.46a.png
90,CRMR,26.6,14.58 m³,9.211,9.59,35153.14,CRMR.45b.png
89,CRMR,26.6,14.58 m³,9.211,9.59,33923.17,CRMR.45a.png
62,CRMR,22.6,11.67 m³,15.526,7.611,38386.0,CRMR.31b.png
63,CRMR,22.6,11.67 m³,16.579,7.266,36988.94,CRMR.32a.png
64,CRMR,22.6,11.67 m³,16.579,7.266,38449.76,CRMR.32b.png
65,CRMR,22.6,11.67 m³,17.632,6.917,37044.64,CRMR.33a.png
66,CRMR,22.6,11.67 m³,17.632,6.917,38508.28,CRMR.33b.png
67,CRMR,22.6,11.67 m³,18.684,6.562,37094.94,CRMR.34a.png
68,CRMR,22.6,11.67 m³,18.684,6.562,38561.12,CRMR.34b.png
69,CRMR,22.6,11.67 m³,19.737,6.201,37139.36,CRMR.35a.png
70,CRMR,22.6,11.67 m³,19.737,6.201,38607.79,CRMR.35b.png
71,CRMR,22.6,11.67 m³,20.789,5.834,37177.35,CRMR.36a.png
72,CRMR,22.6,11.67 m³,20.789,5.834,38647.7,CRMR.36b.png
73,CRMR,22.6,11.67 m³,21.842,5.46,37208.24,CRMR.37a.png
74,CRMR,22.6,11.67 m³,21.842,5.46,38680.15,CRMR.37b.png
75,CRMR,22.6,11.67 m³,22.895,5.078,37231.24,CRMR.38a.png
76,CRMR,22.6,11.67 m³,22.895,5.078,38704.31,CRMR.38b.png
77,CRMR,22.6,11.67 m³,23.947,4.687,37245.37,CRMR.39a.png
78,CRMR,22.6,11.67 m³,23.947,4.687,38719.16,CRMR.39b.png
79,CRMR,22.6,11.67 m³,25.0,4.287,37249.41,CRMR.40a.png
80,CRMR,22.6,11.67 m³,25.0,4.287,38723.41,CRMR.40b.png
81,CRMR,26.6,14.58 m³,5.0,10.339,32875.56,CRMR.41a.png
82,CRMR,26.6,14.58 m³,5.0,10.339,34056.03,CRMR.41b.png
83,CRMR,26.6,14.58 m³,6.053,10.339,33310.57,CRMR.42a.png
84,CRMR,26.6,14.58 m³,6.053,10.339,34511.6,CRMR.42b.png
85,CRMR,26.6,14.58 m³,7.105,10.339,33745.59,CRMR.43a.png
86,CRMR,26.6,14.58 m³,7.105,10.339,34967.17,CRMR.43b.png
87,CRMR,26.6,14.58 m³,8.158,9.907,33781.62,CRMR.44a.png
88,CRMR,26.6,14.58 m³,8.158,9.907,35004.9,CRMR.44b.png
239,CRMR,33.7,17.08 m³,25.0,4.287,36490.09,CRMR.100b.png
240,CRMR,33.7,17.08 m³,25.0,4.287,41120.41,CRMR.100c.png
